categoria,receita_bruta,custo_frete_total,total_itens_vendidos,receita_liquida_pos_frete,margem_percentual_pos_frete,percentual_acumulado
relogios_presentes,1205005.68,100535.93,5991,1104469.75,91.66,9.871588795488647
beleza_saude,1258681.34,182566.73,9670,1076114.61,85.5,19.48974350433209
cama_mesa_banho,1036988.68,204693.04,11115,832295.64,80.26,26.928679984356148
esporte_lazer,988048.97,168607.51,8641,819441.46,82.94,34.25272768697078
informatica_acessorios,911954.32,147318.08,7827,764636.24,83.85,41.08693436344025
moveis_decoracao,729762.49,172749.3,8334,557013.19,76.33,46.065436640522435
cool_stuff,635290.85,84039.1,3796,551251.75,86.77,50.99244401106699
automotivo,592720.11,92664.21,4235,500055.89999999997,84.37,55.46187037567136
utilidades_domesticas,632248.66,146149.11,6964,486099.55000000005,76.88,59.80655692889935
brinquedos,483946.6,77425.95,4117,406520.64999999997,84.0,63.439978934051375
ferramentas_jardim,485256.46,98962.75,4347,386293.71,79.61,66.8926155131915
perfumaria,399124.87,54213.84,3419,344911.03,86.42,69.97537976199818
bebes,411764.89,68353.11,3065,343411.78,83.4,73.04474393397918
telefonia,323667.52999999997,71215.79,4545,252451.74,78.0,75.30112059616084
pcs,222963.13,9836.3,203,213126.83000000002,95.59,77.20601697475882
moveis_escritorio,273960.7,68571.95,1691,205388.75,74.97,79.04175152812202
